Date,Price,Open,High,Low,Vol.,Change %
01-07-2015,873.1,881.45,886.4,869.6,2.25M,-0.17%
02-07-2015,871.1,882.8,884.85,867.5,1.91M,-0.23%
03-07-2015,871,874.4,881.7,868.75,1.41M,-0.01%
06-07-2015,878.9,862.05,880.3,861.5,1.38M,0.91%
07-07-2015,885.35,879.5,891.8,875,2.56M,0.73%
08-07-2015,871.3,883.3,888.5,866.9,2.49M,-1.59%
09-07-2015,872.4,871,885.35,864.2,2.06M,0.13%
10-07-2015,901.55,881,907.8,878.9,3.55M,3.34%
13-07-2015,915.5,909.9,925.5,908,3.27M,1.55%
14-07-2015,919.4,915.4,921.5,905.55,1.71M,0.43%
15-07-2015,929.75,921.5,933,914.5,2.42M,1.13%
16-07-2015,941.35,934.3,943.5,932,1.76M,1.25%
17-07-2015,947.65,948,957,942.6,2.26M,0.67%
20-07-2015,948,952.85,953.7,945,1.38M,0.04%
21-07-2015,805.25,853.2,853.2,795.25,32.69M,-15.06%
22-07-2015,834.55,811,836.95,808.1,10.87M,3.64%
23-07-2015,828.85,839,839.1,821.5,3.65M,-0.68%
24-07-2015,836.2,829,839.8,825.3,3.05M,0.89%
27-07-2015,823.7,833.7,839.8,819.1,3.61M,-1.49%
28-07-2015,820.15,825,834.5,810.05,2.69M,-0.43%
29-07-2015,829.75,823,834.05,819.65,2.30M,1.17%
30-07-2015,814.25,835,835.5,810.2,4.32M,-1.87%
31-07-2015,822.4,819,825.3,812,3.31M,1.00%
03-08-2015,830.95,822,832,820,2.03M,1.04%
04-08-2015,830.1,834.8,834.8,820,3.07M,-0.10%
05-08-2015,841.9,833,844.4,827.1,2.25M,1.42%
06-08-2015,845.4,845,857.4,842.1,3.57M,0.42%
07-08-2015,851.95,855,857.25,850,2.26M,0.77%
10-08-2015,840.7,854.8,856.55,831,2.21M,-1.32%
11-08-2015,841.75,843,846.6,831.3,2.14M,0.12%
12-08-2015,866.15,847.95,884.9,847,5.28M,2.90%
13-08-2015,879.05,868.9,888,840,2.58M,1.49%
14-08-2015,897.7,888,914.7,887.6,4.61M,2.12%
17-08-2015,906.2,909,918,889.6,2.93M,0.95%
18-08-2015,889.75,907.15,915,885.75,1.79M,-1.82%
19-08-2015,927.75,897,930,896.25,5.29M,4.27%
20-08-2015,936.65,946,966,931.7,7.48M,0.96%
21-08-2015,937.9,933,942.35,907.55,4.48M,0.13%
24-08-2015,891.1,909,940,875.2,6.10M,-4.99%
25-08-2015,890.6,915.85,921.65,850,5.37M,-0.06%
26-08-2015,872.9,892.9,900.35,868.6,3.46M,-1.99%
27-08-2015,902,896,905.85,880,5.12M,3.33%
28-08-2015,886.45,911,916.5,865,4.99M,-1.72%
31-08-2015,898.95,882.4,911.4,870,13.51M,1.41%
01-09-2015,901.95,883.7,916,882,4.32M,0.33%
02-09-2015,890.15,914,917,886.7,4.88M,-1.31%
03-09-2015,884.95,898,901.9,881.1,2.31M,-0.58%
04-09-2015,857.7,890,890,852.65,3.08M,-3.08%
07-09-2015,836.5,860.15,866,832,2.48M,-2.47%
08-09-2015,844.6,842,850,815,3.19M,0.97%
09-09-2015,839.05,856.65,860,835.2,2.16M,-0.66%
10-09-2015,839.7,835,844.05,824.9,2.48M,0.08%
11-09-2015,846.05,844,851.95,840.35,2.71M,0.76%
14-09-2015,857.05,854.2,858.95,845.35,2.59M,1.30%
15-09-2015,866.6,858.6,871.5,855,3.82M,1.11%
